packageName	permission	purpose	permissionText	purposeText	rate	level
com.zeptolab.ctr.ads	GET_ACCOUNTS	SECONDARY_MARKET	can use user's accounts information stored on the phone	to connect with independent/secondary mobile app stores	-0.75	C
com.zeptolab.ctr.ads	READ_PHONE_STATE	SECONDARY_MARKET	can read phone current state information like oncall or not, signal, carrier, device ID and phone number	to identify users in order to connect with independent/secondary mobile app stores	-0.7894736842105263	C
com.zeptolab.ctrexperiments.ads	READ_PHONE_STATE	PAYMENT	can read phone current state information like oncall or not, signal, carrier, device ID and phone number	to identify users in payment transaction	-0.25	A
com.zoosk.zoosk	READ_PHONE_STATE	PAYMENT	can read phone current state information like oncall or not, signal, carrier, device ID and phone number	to identify users in payment transaction	-0.3157894736842105	A
com.zrgiu.antivirus	SEND_SMS	PAYMENT	can send out SMS messages	for in-app purchase	-0.05	A
eu.nordeus.topeleven.android	READ_PHONE_STATE	PAYMENT	can read phone current state information like oncall or not, signal, carrier, device ID and phone number	to identify users in payment transaction	-0.25	A
eu.nordeus.topeleven.android	SEND_SMS	PAYMENT	can send out SMS messages	for in-app purchase	-0.3333333333333333	A
flypiggroup.zhainan2012	ACCESS_FINE_LOCATION	SECONDARY_MARKET	can use user's precise location	for an independent/secondary app store to conduct market/customer analysis	-1.2	D
grandtheft.auto.vicecity.cheats.unofficial	READ_PHONE_STATE	DEVELOPMENT_AID	can read phone current state information like oncall or not, signal, carrier, device ID and phone number	for unclear purpose	-0.9230769230769231	D
grandtheft.auto.vicecity.cheats.unofficial	RECORD_AUDIO	DEVELOPMENT_AID	can record audio through microphone on the phone	for unlcear purpose	-0.4166666666666667	B
henrich.thandroid.floor	RECORD_AUDIO	GAME_ENGINE	can record audio through microphone on the phone	to enable audio recording in game (though may not be used in Game)	-0.3	A
jp.naver.SJLGPP	READ_PHONE_STATE	GAME_ENGINE	can read phone current state information like oncall or not, signal, carrier, device ID and phone number	to identify users for delivering targeted advertisement in game	-0.8421052631578947	C
jp.naver.SJLGWR	READ_PHONE_STATE	GAME_ENGINE	can read phone current state information like oncall or not, signal, carrier, device ID and phone number	to identify users for delivering targeted advertisement in game	-0.5	B
jp.naver.linetools	ACCESS_FINE_LOCATION	DEVELOPMENT_AID	can use user's precise location	for unlcear purpose	-0.6	B
jp.naver.linetools	CAMERA	DEVELOPMENT_AID	can use camera or flashlight on the phone	for features like Flashlight, Mirror, Magnifying Glass, Spaghetti Measurer and QR Code Reader	1.2	N/A
mobi.browser.flashfox	AUTHENTICATE_ACCOUNTS	UTILITY	can use user's account authentication information (like password) or create new accounts	to manage Firefox account informaiton on users' phone	0.058823529411764705	N/A
net.mobilecraft.realbasketball	READ_PHONE_STATE	GAME_ENGINE	can read phone current state information like oncall or not, signal, carrier, device ID and phone number	to identify users for delivering targeted advertisement in game	-0.75	C
ns.feedmeworms	SEND_SMS	SOCIAL_GAMING	can send out SMS messages	for in-app purchase through premium SMS on social game platform	-0.8947368421052632	D
se.tv4.tv4playtab	BLUETOOTH	TARGETED_ADS	can connect to user's Bluetooth devices	for advertisement purpose	0.09090909090909091	N/A
smm.refill	SEND_SMS	UTILITY	can send out SMS messages	for STC and Zain balance transfer	0.1	N/A
xz.com.dadisu	SEND_SMS	SECONDARY_MARKET	can send out SMS messages	for in-app purchase through premium SMS on independent/secondary market	-0.85	D
