testSize		index	learning_rate	max_depth	n_estimators	subsample
28	50%	0.0	0.1	1.0	50.0	1.0
28	75%	0.0	0.1	3.0	100.0	1.0
28	max	0.0	0.1	10.0	500.0	1.0
29	count	60.0	60.0	60.0	60.0	60.0
29	mean	0.0	0.09999999999999991	2.4833333333333334	110.0	0.7200000000000001
29	std	0.0	4.945962112729362e-09	2.632854136475244	112.29501098234695	0.27358263400135346
29	min	0.0	0.1	1.0	50.0	0.1
29	25%	0.0	0.1	1.0	50.0	0.5
29	50%	0.0	0.1	1.0	100.0	0.5
29	75%	0.0	0.1	3.0	100.0	1.0
29	max	0.0	0.1	10.0	500.0	1.0
31	count	30.0	30.0	30.0	30.0	30.0
31	mean	0.0	0.14000000000000004	4.9	178.33333333333334	0.8866666666666667
31	std	0.0	0.12205143065174587	3.642185777988173	143.64907751623178	0.2403063179293909
31	min	0.0	0.1	1.0	50.0	0.1
31	25%	0.0	0.1	1.5	50.0	1.0
31	50%	0.0	0.1	3.0	200.0	1.0
31	75%	0.0	0.1	10.0	200.0	1.0
31	max	0.0	0.5	10.0	500.0	1.0
32	count	119.0	119.0	119.0	119.0	119.0
32	mean	0.0	0.14957983193277313	5.394957983193278	164.28571428571428	0.9327731092436975
32	std	0.0	0.17018133378682557	3.5824867970115393	158.13302396642246	0.1712908339031419
32	min	0.0	0.1	1.0	50.0	0.5
32	25%	0.0	0.1	3.0	50.0	1.0
32	50%	0.0	0.1	5.0	100.0	1.0
32	75%	0.0	0.1	10.0	200.0	1.0
32	max	0.0	1.0	10.0	500.0	1.0
40	count	134.0	134.0	134.0	134.0	134.0
40	mean	0.0	0.1089552238805968	1.492537313432836	91.41791044776119	0.7656716417910447
40	std	0.0	0.059398851368814454	1.3474915076759828	61.16848401098761	0.28100369986913265
40	min	0.0	0.1	1.0	50.0	0.1
40	25%	0.0	0.1	1.0	50.0	0.5
40	50%	0.0	0.1	1.0	100.0	1.0
40	75%	0.0	0.1	1.0	100.0	1.0
40	max	0.0	0.5	10.0	500.0	1.0
84	count	17.0	17.0	17.0	17.0	17.0
84	mean	0.0	0.10000000000000002	5.235294117647059	150.0	0.9705882352941176
84	std	0.0	0.0	1.9535036397683614	141.4213562373095	0.12126781251816628
84	min	0.0	0.1	3.0	50.0	0.5
84	25%	0.0	0.1	5.0	50.0	1.0
84	50%	0.0	0.1	5.0	100.0	1.0
84	75%	0.0	0.1	5.0	200.0	1.0
84	max	0.0	0.1	10.0	500.0	1.0
85	count	68.0	68.0	68.0	68.0	68.0
85	mean	0.0	0.09999999999999988	4.852941176470588	119.8529411764706	0.9485294117647058
85	std	0.0	5.611054849065446e-09	2.110844111288133	118.49167294955603	0.15307070560065258
85	min	0.0	0.1	3.0	50.0	0.5
85	25%	0.0	0.1	3.0	50.0	1.0
85	50%	0.0	0.1	5.0	100.0	1.0
85	75%	0.0	0.1	5.0	100.0	1.0
85	max	0.0	0.1	10.0	500.0	1.0
