	index	learning_rate	loss	max_depth	max_features	n_estimators	subsample	testSize
127	0	0.5	lad	3	log2	50	0.5	9
128	0	0.1	lad	1	log2	100	0.5	12
129	0	0.5	lad	10	log2	50	0.1	3
130	0	0.1	lad	10	sqrt	100	0.5	3
131	0	0.1	huber	10	log2	200	1.0	5
132	0	0.5	quantile	10	sqrt	500	0.5	9
133	0	0.5	quantile	5	sqrt	100	1.0	7
134	0	0.5	ls	1	sqrt	500	1.0	7
135	0	1.0	ls	1	sqrt	50	0.1	3
136	0	0.5	ls	1	log2	50	1.0	3
137	0	0.5	ls	1	sqrt	100	1.0	5
138	0	0.1	lad	1	log2	200	0.5	13
139	0	0.5	lad	3	log2	200	1.0	7
140	0	0.1	ls	3	log2	100	0.5	9
141	0	0.1	huber	3	sqrt	100	0.1	7
142	0	0.5	quantile	10	sqrt	200	1.0	3
143	0	1.0	huber	10	sqrt	50	0.1	3
144	0	0.1	ls	5	log2	500	0.5	4
145	0	0.1	huber	3	sqrt	50	1.0	10
146	0	0.1	ls	1	sqrt	100	0.1	13
147	0	0.5	ls	10	log2	100	1.0	8
148	0	1.0	quantile	1	log2	200	1.0	3
149	0	0.1	lad	1	log2	50	0.1	7
150	0	0.5	huber	1	sqrt	100	1.0	3
151	0	0.5	huber	3	sqrt	200	1.0	5
152	0	0.5	huber	1	sqrt	500	0.1	3
153	0	0.5	lad	3	sqrt	500	0.5	10
154	0	0.5	lad	5	log2	200	1.0	7
155	0	0.1	huber	1	auto	50	1.0	4
156	0	1.0	ls	3	auto	500	1.0	5
157	0	0.1	huber	3	auto	50	0.1	7
158	0	0.1	ls	3	log2	500	0.5	13
159	0	0.5	lad	1	auto	500	0.1	3
160	0	0.1	quantile	5	log2	500	0.1	9
161	0	0.5	lad	10	log2	50	1.0	3
162	0	0.1	lad	5	log2	500	0.5	7
163	0	1.0	huber	3	auto	100	1.0	5
164	0	0.5	lad	1	auto	500	0.1	3
165	0	0.5	lad	5	sqrt	100	1.0	7
166	0	0.1	huber	3	log2	200	0.5	12
167	0	0.5	quantile	1	sqrt	50	1.0	3
168	0	0.1	ls	10	log2	50	0.1	9
169	0	0.5	quantile	5	auto	100	1.0	7
170	0	0.5	ls	3	log2	100	1.0	5
171	0	1.0	lad	3	auto	500	0.1	3
172	0	0.1	lad	10	log2	200	0.5	12
173	0	0.1	lad	10	log2	200	0.1	7
174	0	0.1	huber	1	log2	100	0.1	7
175	0	0.5	lad	5	log2	200	0.5	3
176	0	0.1	ls	10	log2	500	0.5	9
177	0	1.0	ls	3	sqrt	200	0.1	3
178	0	0.5	ls	1	auto	500	0.5	4
179	0	0.1	lad	3	log2	200	1.0	8
180	0	0.5	lad	1	log2	500	0.5	7
181	0	0.1	lad	10	auto	50	0.1	13
182	0	0.5	ls	10	sqrt	100	0.1	3
183	0	0.1	lad	10	log2	100	0.1	7
184	0	1.0	lad	5	sqrt	50	1.0	3
185	0	0.5	ls	3	sqrt	100	1.0	5
186	0	0.5	huber	3	sqrt	500	1.0	10
187	0	0.1	ls	10	sqrt	200	0.5	4
188	0	0.1	quantile	10	sqrt	50	0.1	7
189	0	0.1	lad	5	sqrt	50	0.1	13
190	0	0.5	huber	10	log2	50	0.5	3
191	0	1.0	huber	10	sqrt	500	0.1	3
192	0	0.5	huber	5	log2	200	1.0	7
193	0	0.5	quantile	10	sqrt	100	1.0	5
194	0	0.5	lad	5	auto	500	1.0	10
195	0	0.5	lad	1	log2	500	1.0	3
