purpose	count
INTERNAL	267
TARGETED_ADS	40
MOBILE_ANALYTICS	32
UTILITY	22
DEVELOPMENT_AID	22
SNS	21
SECONDARY_MARKET	20
PAYMENT	20
GAME_ENGINE	20
SOCIAL_GAMING	19
SEARCH_ENGINE	3
