category	count
ARCADE 	177
ENTERTAINMENT 	119
EDUCATION 	9
TRAVEL_AND_LOCAL 	7
MUSIC_AND_AUDIO 	5
CASUAL 	5
BUSINESS 	4
COMMUNICATION 	4
TOOLS 	4
PRODUCTIVITY 	3
FINANCE 	3
PHOTOGRAPHY 	3
SOCIAL 	3
LIFESTYLE 	2
MEDIA_AND_VIDEO 	2
BOOKS_AND_REFERENCE 	2
TRANSPORTATION 	2
BRAIN 	2
MEDICAL 	1
HEALTH_AND_FITNESS 	1
NEWS_AND_MAGAZINES 	1
