	permission	purpose	packageName	count
118	READ_PHONE_STATE	INTERNAL	com.cisco.anyconnect.vpn.android.rooted	16
207	READ_PHONE_STATE	MOBILE_ANALYTICS	com.droidhen.game.speedhiker	16
58	ACCESS_FINE_LOCATION	TARGETED_ADS	com.robotwheelie.android.facegoo	16
276	READ_PHONE_STATE	TARGETED_ADS	com.gameinsight.myclinic	16
302	READ_PHONE_STATE	TARGETED_ADS	com.nurogames.talkingsantalite	16
203	READ_PHONE_STATE	MOBILE_ANALYTICS	com.bigbluebubble.fatfree	16
216	READ_PHONE_STATE	MOBILE_ANALYTICS	com.playtales.en.hanselygretel	16
56	ACCESS_FINE_LOCATION	TARGETED_ADS	com.roboconn.snipelite	15
113	READ_PHONE_STATE	INTERNAL	com.bigbluebubble.fatfree	15
9	ACCESS_FINE_LOCATION	INTERNAL	com.geogame.event	13
