	permission	purpose	packageName	count
68	ACCESS_FINE_LOCATION	TARGETED_ADS	net.sjang.sail	20
13	ACCESS_FINE_LOCATION	INTERNAL	com.sensacine.android	20
65	ACCESS_FINE_LOCATION	TARGETED_ADS	it.sunsea.cartonianimati	20
64	ACCESS_FINE_LOCATION	TARGETED_ADS	game.activity	20
14	ACCESS_FINE_LOCATION	INTERNAL	com.triposo.droidguide.amsterdam	20
61	ACCESS_FINE_LOCATION	TARGETED_ADS	com.teachersparadise.groovyscratchdraw	20
59	ACCESS_FINE_LOCATION	TARGETED_ADS	com.rocketmind.fishing	20
54	ACCESS_FINE_LOCATION	TARGETED_ADS	com.ms.coupleobserver	20
19	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	br.com.jera.vikings	20
51	ACCESS_FINE_LOCATION	TARGETED_ADS	com.mobage.ww.a448.TouchHockey_android	20
47	ACCESS_FINE_LOCATION	TARGETED_ADS	com.fivemobile.cineplex	20
46	ACCESS_FINE_LOCATION	TARGETED_ADS	com.favoritemedium	20
44	ACCESS_FINE_LOCATION	TARGETED_ADS	com.dogsbestlivewallpaper.dogs	20
40	ACCESS_FINE_LOCATION	TARGETED_ADS	com.alpha_aps.naked_scanner	20
20	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	com.Ama.PanicFlightFree	20
36	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	game.activity	20
35	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	com.tvb.tvbfun	20
33	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	com.rocketmind.fishing	20
30	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	com.mobage.ww.a692.Bahamut_Android	20
26	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	com.gameinsight.enchantedrealm	20
25	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	com.fivemobile.cineplex	20
24	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	com.favoritemedium	20
71	CAMERA	INTERNAL	com.fingersoft.nightvisioncamera	20
72	CAMERA	INTERNAL	com.fontaines	20
120	READ_PHONE_STATE	INTERNAL	com.com2us.caligofree	20
74	CAMERA	INTERNAL	com.novalibra.cashierlive.inventory	20
119	READ_PHONE_STATE	INTERNAL	com.codemonkey.titanturret	20
115	READ_PHONE_STATE	INTERNAL	com.blue.fox.scannerradio	20
112	READ_PHONE_STATE	INTERNAL	com.berobo.android.scanner	20
111	READ_PHONE_STATE	INTERNAL	com.asobimo.celes_gp_en	20
109	READ_PHONE_STATE	INTERNAL	com.allocine.androidapp	20
108	READ_PHONE_STATE	INTERNAL	com.HBO	20
105	READ_PHONE_STATE	INTERNAL	by.istin.android.kinobaza	20
104	READ_PHONE_STATE	INTERNAL	br.com.jera.vikings	20
224	READ_PHONE_STATE	MOBILE_ANALYTICS	com.twentythreedivide.hsw	20
102	READ_PHONE_STATE	INTERNAL	bnw.project.wallpaper.buddycons	20
100	READ_PHONE_STATE	INTERNAL	amep.games.af_final	20
98	GET_ACCOUNTS	TARGETED_ADS	com.mobage.ww.a448.TouchHockey_android	20
97	GET_ACCOUNTS	INTERNAL	net.sjang.sail	20
96	GET_ACCOUNTS	INTERNAL	com.tgb.nationsatwar	20
95	GET_ACCOUNTS	INTERNAL	com.stumbleupon.android.app	20
93	GET_ACCOUNTS	INTERNAL	com.rocketmind.fishing	20
90	GET_ACCOUNTS	INTERNAL	com.ms.coupleobserver	20
88	GET_ACCOUNTS	INTERNAL	com.google.android.ytremote	20
86	GET_ACCOUNTS	INTERNAL	com.fridgecat.android.atiltlite	20
85	GET_ACCOUNTS	INTERNAL	com.favoritemedium	20
83	GET_ACCOUNTS	INTERNAL	com.appson.blobbyvolley	20
82	GET_ACCOUNTS	INTERNAL	com.Conquer3.Kingdoms.game.good.haha	20
78	CAMERA	INTERNAL	mmapps.mirror.free	20
221	READ_PHONE_STATE	MOBILE_ANALYTICS	com.stumbleupon.android.app	20
179	READ_PHONE_STATE	INTERNAL	com.uken.android.forcesofwar	20
286	READ_PHONE_STATE	TARGETED_ADS	com.insasofttech.GhostCam	20
326	READ_PHONE_STATE	TARGETED_ADS	com.thechive	20
269	READ_PHONE_STATE	TARGETED_ADS	com.fridgecat.android.atiltlite	20
307	READ_PHONE_STATE	TARGETED_ADS	com.popcannibal.spacethunk	20
268	READ_PHONE_STATE	TARGETED_ADS	com.fractiv.lanesplitter	20
308	READ_PHONE_STATE	TARGETED_ADS	com.red.dino	20
310	READ_PHONE_STATE	TARGETED_ADS	com.rixment.game.rocketcraze	20
265	READ_PHONE_STATE	TARGETED_ADS	com.feelingtouch.dragon.ice	20
264	READ_PHONE_STATE	TARGETED_ADS	com.feelingtouch.bugswar	20
311	READ_PHONE_STATE	TARGETED_ADS	com.robotwheelie.android.facegoo	20
263	READ_PHONE_STATE	TARGETED_ADS	com.feelingtouch.FlyMan	20
262	READ_PHONE_STATE	TARGETED_ADS	com.favoritemedium	20
314	READ_PHONE_STATE	TARGETED_ADS	com.sixwaves.strikefleetomega	20
259	READ_PHONE_STATE	TARGETED_ADS	com.er.popularfunny	20
258	READ_PHONE_STATE	TARGETED_ADS	com.emrosswar	20
317	READ_PHONE_STATE	TARGETED_ADS	com.stream.phd	20
256	READ_PHONE_STATE	TARGETED_ADS	com.dreamfabpapaya.savingyello	20
255	READ_PHONE_STATE	TARGETED_ADS	com.dreamcortex.talkingPet_android	20
290	READ_PHONE_STATE	TARGETED_ADS	com.lavapps.AirTrafficControlLite	20
318	READ_PHONE_STATE	TARGETED_ADS	com.stuckpixelinc.epicfail	20
323	READ_PHONE_STATE	TARGETED_ADS	com.teamsoft.falldown	20
270	READ_PHONE_STATE	TARGETED_ADS	com.funny.meme	20
271	READ_PHONE_STATE	TARGETED_ADS	com.gamecircus.PrizeClaw	20
272	READ_PHONE_STATE	TARGETED_ADS	com.gameforge.xmobile.war	20
283	READ_PHONE_STATE	TARGETED_ADS	com.gridmob.android.funnycall	20
289	READ_PHONE_STATE	TARGETED_ADS	com.klik.games.fastball2	20
288	READ_PHONE_STATE	TARGETED_ADS	com.kauf.talking.baum.TalkingJamesSquirrel	20
292	READ_PHONE_STATE	TARGETED_ADS	com.magmamobile.game.soccer	20
293	READ_PHONE_STATE	TARGETED_ADS	com.menueph.entertainment.russianroulette	20
294	READ_PHONE_STATE	TARGETED_ADS	com.mindSpringLabs.sithSaber	20
295	READ_PHONE_STATE	TARGETED_ADS	com.miniclip.fraggerfree	20
284	READ_PHONE_STATE	TARGETED_ADS	com.hyperkani.hyppely	20
298	READ_PHONE_STATE	TARGETED_ADS	com.mobage.ww.a692.Bahamut_Android	20
282	READ_PHONE_STATE	TARGETED_ADS	com.glu.android.gunbros_free	20
273	READ_PHONE_STATE	TARGETED_ADS	com.gameinsight.crimestory	20
281	READ_PHONE_STATE	TARGETED_ADS	com.glu.android.ck	20
