category	count
ARCADE 	216
ENTERTAINMENT 	133
COMMUNICATION 	113
SOCIAL 	54
PRODUCTIVITY 	30
TOOLS 	29
BRAIN 	21
CASUAL 	20
MUSIC_AND_AUDIO 	17
PHOTOGRAPHY 	16
TRAVEL_AND_LOCAL 	15
EDUCATION 	9
MEDIA_AND_VIDEO 	8
HEALTH_AND_FITNESS 	7
RACING 	7
BOOKS_AND_REFERENCE 	6
BUSINESS 	4
FINANCE 	3
SHOPPING 	2
TRANSPORTATION 	2
LIFESTYLE 	2
PERSONALIZATION 	2
MEDICAL 	1
CARDS 	1
NEWS_AND_MAGAZINES 	1
