permission	purpose	count
WAKE_LOCK	SEARCH_ENGINE	298
ACCESS_FINE_LOCATION	UI_COMPONENT	287
GET_TASKS	SOCIAL_GAMING	283
GET_TASKS	UTILITY	269
ACCESS_COARSE_LOCATION	PAYMENT	223
WAKE_LOCK	MOBILE_ANALYTICS	214
USE_CREDENTIALS	DEVELOPMENT_AID	212
GET_ACCOUNTS	DEVELOPMENT_AID	212
READ_CONTACTS	SNS	211
MODIFY_AUDIO_SETTINGS	SNS	204
CHANGE_WIFI_STATE	SNS	198
READ_CONTACTS	TARGETED_ADS	196
ACCESS_COARSE_LOCATION	SOCIAL_GAMING	185
ACCESS_WIFI_STATE	GAME_ENGINE	184
ACCESS_MOCK_LOCATION	INTERNAL	180
VIBRATE	UI_COMPONENT	179
SEND_SMS	UTILITY	172
ACCESS_COARSE_LOCATION	UTILITY	168
CHANGE_WIFI_STATE	UTILITY	154
BLUETOOTH	UTILITY	126
REORDER_TASKS	INTERNAL	122
CALL_PRIVILEGED	INTERNAL	111
SEND_SMS	PAYMENT	110
ACCESS_NETWORK_STATE	SECONDARY_MARKET	109
WRITE_SETTINGS	UTILITY	104
WRITE_CONTACTS	INTERNAL	100
SET_PREFERRED_APPLICATIONS	INTERNAL	96
VIBRATE	SNS	92
READ_LOGS	SEARCH_ENGINE	87
BROADCAST_STICKY	SEARCH_ENGINE	85
RECORD_AUDIO	GAME_ENGINE	77
ACCESS_WIFI_STATE	CONTENT_PROVIDER	75
BIND_APPWIDGET	INTERNAL	71
CHANGE_NETWORK_STATE	UTILITY	71
ACCESS_COARSE_LOCATION	CONTENT_PROVIDER	69
WRITE_USER_DICTIONARY	INTERNAL	68
VIBRATE	CONTENT_PROVIDER	65
ACCESS_COARSE_LOCATION	MOBILE_ANALYTICS	57
RECORD_AUDIO	SEARCH_ENGINE	56
SET_WALLPAPER	DEVELOPMENT_AID	55
VIBRATE	SECONDARY_MARKET	46
BLUETOOTH_ADMIN	INTERNAL	45
READ_SMS	INTERNAL	42
INJECT_EVENTS	INTERNAL	41
GET_ACCOUNTS	GAME_ENGINE	40
CHANGE_WIFI_STATE	CONTENT_PROVIDER	40
ACCESS_WIFI_STATE	SECONDARY_MARKET	32
ACCESS_MOCK_LOCATION	TARGETED_ADS	31
EXPAND_STATUS_BAR	INTERNAL	30
GET_TASKS	GAME_ENGINE	26
RECORD_AUDIO	SOCIAL_GAMING	23
INTERNET	UI_COMPONENT	22
GET_ACCOUNTS	SNS	22
ACCESS_FINE_LOCATION	SECONDARY_MARKET	22
BLUETOOTH	MOBILE_ANALYTICS	18
GET_PACKAGE_SIZE	INTERNAL	18
REBOOT	INTERNAL	18
READ_CONTACTS	PAYMENT	17
READ_LOGS	GAME_ENGINE	16
FACTORY_TEST	TARGETED_ADS	16
WRITE_SMS	INTERNAL	16
CAMERA	SOCIAL_GAMING	15
WRITE_HISTORY_BOOKMARKS	INTERNAL	13
AUTHENTICATE_ACCOUNTS	UTILITY	13
CLEAR_APP_CACHE	INTERNAL	12
GET_TASKS	SEARCH_ENGINE	11
ACCESS_MOCK_LOCATION	CONTENT_PROVIDER	11
MANAGE_ACCOUNTS	SNS	10
USE_CREDENTIALS	UTILITY	10
SEND_SMS	SNS	10
WRITE_SYNC_SETTINGS	UTILITY	9
NFC	UTILITY	9
BIND_DEVICE_ADMIN	INTERNAL	9
WRITE_SECURE_SETTINGS	INTERNAL	9
SET_TIME	INTERNAL	8
SEND_SMS	TARGETED_ADS	8
READ_SYNC_SETTINGS	UTILITY	8
WRITE_SETTINGS	GAME_ENGINE	7
USE_CREDENTIALS	SNS	7
BLUETOOTH	TARGETED_ADS	6
RECORD_AUDIO	SNS	6
BACKUP	INTERNAL	6
WRITE_SETTINGS	MOBILE_ANALYTICS	6
READ_LOGS	SOCIAL_GAMING	6
WAKE_LOCK	UI_COMPONENT	6
GET_TASKS	PAYMENT	6
FACTORY_TEST	INTERNAL	6
SEND_SMS	SECONDARY_MARKET	5
GET_ACCOUNTS	PAYMENT	5
ACCESS_COARSE_LOCATION	DEVELOPMENT_AID	5
RESTART_PACKAGES	GAME_ENGINE	5
USE_CREDENTIALS	SEARCH_ENGINE	5
RESTART_PACKAGES	TARGETED_ADS	5
GET_ACCOUNTS	SEARCH_ENGINE	5
BLUETOOTH	DEVELOPMENT_AID	5
CAMERA	SNS	4
READ_LOGS	SECONDARY_MARKET	4
SEND_SMS	DEVELOPMENT_AID	4
SET_WALLPAPER	TARGETED_ADS	4
SEND_SMS	SOCIAL_GAMING	4
CHANGE_WIFI_STATE	DEVELOPMENT_AID	4
SEND_SMS	GAME_ENGINE	4
CHANGE_WIFI_MULTICAST_STATE	UTILITY	4
BROADCAST_STICKY	SNS	4
GET_TASKS	DEVELOPMENT_AID	3
RECEIVE_SMS	INTERNAL	3
BLUETOOTH	GAME_ENGINE	3
DISABLE_KEYGUARD	SNS	3
KILL_BACKGROUND_PROCESSES	SNS	3
WRITE_SETTINGS	SNS	3
CAMERA	PAYMENT	3
MANAGE_ACCOUNTS	UTILITY	3
DEVICE_POWER	INTERNAL	3
SET_WALLPAPER	GAME_ENGINE	3
BLUETOOTH	SOCIAL_GAMING	2
READ_CONTACTS	SECONDARY_MARKET	2
WRITE_SETTINGS	TARGETED_ADS	2
RECORD_AUDIO	PAYMENT	2
WAKE_LOCK	SECONDARY_MARKET	2
AUTHENTICATE_ACCOUNTS	SNS	2
READ_HISTORY_BOOKMARKS	INTERNAL	2
MODIFY_AUDIO_SETTINGS	SEARCH_ENGINE	2
MODIFY_AUDIO_SETTINGS	PAYMENT	2
FORCE_STOP_PACKAGES	INTERNAL	2
RESTART_PACKAGES	DEVELOPMENT_AID	1
AUTHENTICATE_ACCOUNTS	PAYMENT	1
GET_TASKS	UI_COMPONENT	1
PROCESS_OUTGOING_CALLS	INTERNAL	1
READ_SYNC_SETTINGS	SNS	1
RESTART_PACKAGES	SNS	1
MANAGE_ACCOUNTS	PAYMENT	1
CHANGE_NETWORK_STATE	TARGETED_ADS	1
CHANGE_WIFI_MULTICAST_STATE	SOCIAL_GAMING	1
WRITE_SETTINGS	DEVELOPMENT_AID	1
CAMERA	UI_COMPONENT	1
DUMP	INTERNAL	1
MANAGE_ACCOUNTS	SEARCH_ENGINE	1
KILL_BACKGROUND_PROCESSES	GAME_ENGINE	1
READ_CONTACTS	MOBILE_ANALYTICS	1
CHANGE_WIFI_MULTICAST_STATE	SNS	1
DISABLE_KEYGUARD	DEVELOPMENT_AID	1
BLUETOOTH_ADMIN	UTILITY	1
CAMERA	SEARCH_ENGINE	1
DISABLE_KEYGUARD	GAME_ENGINE	1
MODIFY_AUDIO_SETTINGS	GAME_ENGINE	1
CHANGE_COMPONENT_ENABLED_STATE	SEARCH_ENGINE	1
WRITE_HISTORY_BOOKMARKS	TARGETED_ADS	1
USE_CREDENTIALS	GAME_ENGINE	1
READ_LOGS	CONTENT_PROVIDER	1
SET_WALLPAPER_HINTS	TARGETED_ADS	1
READ_HISTORY_BOOKMARKS	TARGETED_ADS	1
BLUETOOTH	PAYMENT	1
READ_CONTACTS	SEARCH_ENGINE	1
READ_CALENDAR	INTERNAL	1
RESTART_PACKAGES	SEARCH_ENGINE	1
WRITE_SETTINGS	PAYMENT	1
NFC	PAYMENT	1
WRITE_SYNC_SETTINGS	SNS	1
READ_CONTACTS	GAME_ENGINE	1
MOUNT_UNMOUNT_FILESYSTEMS	INTERNAL	1
