,packageName,permission,purpose,avgScore,comfortScore,hybridScore,isHybridAvg,regScore
0,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-0.32430647484204794,-0.05263157894736838,-0.252309010060248,0.0,-0.252309010060248
1,amep.games.af_final,READ_PHONE_STATE,INTERNAL,0.2687361876568961,0.9499999999999995,0.572851318703004,0.0,0.572851318703004
2,amep.games.af_final,READ_PHONE_STATE,TARGETED_ADS,-0.32613425625350184,-0.21052631578947353,-0.20584981029589822,0.0,-0.20584981029589822
3,atticlab.ScaryMazedGame,READ_PHONE_STATE,TARGETED_ADS,-0.32120195616654207,-0.25,-0.176568855865259,0.0,-0.176568855865259
4,atticlab.whip,READ_PHONE_STATE,TARGETED_ADS,-0.32355970776282844,-0.3,-0.3199695134101504,0.0,-0.3199695134101504
5,au.com.nab.mobile,READ_PHONE_STATE,INTERNAL,0.2761065501225805,-0.5789473684210529,0.3173475569704785,0.0,0.3173475569704785
6,bnw.project.wallpaper.buddycons,READ_PHONE_STATE,INTERNAL,0.26990815441970345,0.3,0.6626883080926181,0.0,0.6626883080926181
7,br.bovespa,READ_PHONE_STATE,INTERNAL,0.27549210193921925,-0.034482758620689634,0.00017473373509042193,0.0,0.00017473373509042193
8,br.com.jera.vikings,READ_PHONE_STATE,INTERNAL,0.26520018538195883,0.6,0.4467926231619924,0.0,0.4467926231619924
9,br.com.jera.vikings,READ_PHONE_STATE,TARGETED_ADS,-0.3239445008744793,0.0,-0.2020404857580877,0.0,-0.2020404857580877
10,by.istin.android.kinobaza,READ_PHONE_STATE,INTERNAL,0.2739193889184614,0.3,0.5558305130456809,0.0,0.5558305130456809
11,com.Ama.PanicFlightFree,READ_PHONE_STATE,INTERNAL,0.2686933230469876,0.41176470588235314,0.43014125074979465,0.0,0.43014125074979465
12,com.Ama.PanicFlightFree,READ_PHONE_STATE,MOBILE_ANALYTICS,-0.4109703366173885,-0.125,-0.21666527291981863,0.0,-0.21666527291981863
13,com.Ama.PanicFlightFree,READ_PHONE_STATE,TARGETED_ADS,-0.326384528989345,0.23529411764705885,-0.24900486889164056,0.0,-0.24900486889164056
14,com.Conquer3.Kingdoms.game.good.haha,READ_PHONE_STATE,INTERNAL,0.27091064090205463,0.3333333333333333,0.42496954455811387,0.0,0.42496954455811387
15,com.Conquer3.Kingdoms.game.good.haha,READ_PHONE_STATE,TARGETED_ADS,-0.319161450479143,-0.4000000000000002,-0.26337150158695033,0.0,-0.26337150158695033
16,com.HBO,READ_PHONE_STATE,INTERNAL,0.26656295417845455,1.1499999999999992,0.6335262201016111,0.0,0.6335262201016111
17,com.NextFloor.DragonFlightKakao,READ_PHONE_STATE,INTERNAL,0.2743349581173292,-0.6499999999999999,-0.03560253377289633,0.0,-0.03560253377289633
18,com.UCMobile.intl,READ_PHONE_STATE,INTERNAL,0.2650834999567179,-0.3,0.28462530351535575,0.0,0.28462530351535575
19,com.UCMobile.intl,READ_PHONE_STATE,SNS,0.23214131326290907,0.25,0.23214131326290907,1.0,0.19902184993142447
20,com.alaskajim.whosingsit1990s,READ_PHONE_STATE,TARGETED_ADS,-0.3208277889682872,-0.7647058823529417,-0.3993598199042431,0.0,-0.3993598199042431
