hitid	hittypeid	workerid	packageName	permission	purpose	comfortScore
24XSVGULF3958C32C56SANYN0LTAOY	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1U43ACI9M84MZ	air.couk.hamzagames.ultimatesmasher	READ_PHONE_STATE	TARGETED_ADS	-1
24XSVGULF3958C32C56SANYN0LTAOY	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1K3C8R6GW43CW	air.couk.hamzagames.ultimatesmasher	READ_PHONE_STATE	TARGETED_ADS	2
24XSVGULF3958C32C56SANYN0LTAOY	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A6IVYRP8FAIS	air.couk.hamzagames.ultimatesmasher	READ_PHONE_STATE	TARGETED_ADS	-1
24XSVGULF3958C32C56SANYN0LTAOY	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A2YTOX7SEDJ1TC	air.couk.hamzagames.ultimatesmasher	READ_PHONE_STATE	TARGETED_ADS	-2
24XSVGULF3958C32C56SANYN0LTAOY	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1CO67KW9NQ5NV	air.couk.hamzagames.ultimatesmasher	READ_PHONE_STATE	TARGETED_ADS	1
24XSVGULF3958C32C56SANYN0LTAOY	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1VS2PFZRWWPO3	air.couk.hamzagames.ultimatesmasher	READ_PHONE_STATE	TARGETED_ADS	1
24XSVGULF3958C32C56SANYN0LTAOY	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A3HFWLGG0K527B	air.couk.hamzagames.ultimatesmasher	READ_PHONE_STATE	TARGETED_ADS	1
24XSVGULF3958C32C56SANYN0LTAOY	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	AST33WVZ5QC05	air.couk.hamzagames.ultimatesmasher	READ_PHONE_STATE	TARGETED_ADS	-2
24XSVGULF3958C32C56SANYN0LTAOY	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A3LXRZZ3GV0LRD	air.couk.hamzagames.ultimatesmasher	READ_PHONE_STATE	TARGETED_ADS	2
2YXL42J1LY58RNZMI49GMKHDIGU4PZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	AIUKV0KVALMY6	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	2
2YXL42J1LY58RNZMI49GMKHDIGU4PZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	APROFW08F7Z34	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	-2
2YXL42J1LY58RNZMI49GMKHDIGU4PZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A2DWQF4ZHHBLOW	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	1
2YXL42J1LY58RNZMI49GMKHDIGU4PZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1U43ACI9M84MZ	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	1
2YXL42J1LY58RNZMI49GMKHDIGU4PZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A771BLWJLMWYY	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	-1
2YXL42J1LY58RNZMI49GMKHDIGU4PZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A32CMQGGTSUK6Z	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	2
2YXL42J1LY58RNZMI49GMKHDIGU4PZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A4SKTCPDTV550	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	1
2YXL42J1LY58RNZMI49GMKHDIGU4PZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1JRV4XD6CG12W	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	-1
2YXL42J1LY58RNZMI49GMKHDIGU4PZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A3C7SA7ADVLG3W	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	1
2YXL42J1LY58RNZMI49GMKHDIGU4PZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A3I5PTITGTFEBW	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	2
2YXL42J1LY58RNZMI49GMKHDIGU4PZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1KF05U5IO9AFG	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	-1
2YXL42J1LY58RNZMI49GMKHDIGU4PZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	AAXYYH9MI3PJM	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	-1
2YXL42J1LY58RNZMI49GMKHDIGU4PZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A2LJAWY0LUIMN1	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	1
2YXL42J1LY58RNZMI49GMKHDIGU4PZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A5IG6AWG6W638	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	-2
2YXL42J1LY58RNZMI49GMKHDIGU4PZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1MO07YOP3THQ2	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	-2
2YXL42J1LY58RNZMI49GMKHDIGU4PZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1VS2PFZRWWPO3	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	1
2YXL42J1LY58RNZMI49GMKHDIGU4PZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A3FM158JCS0W7K	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	1
2YXL42J1LY58RNZMI49GMKHDIGU4PZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A18TXM6GMU1411	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	-2
2YXL42J1LY58RNZMI49GMKHDIGU4PZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A2YTOX7SEDJ1TC	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	-2
2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	AIUKV0KVALMY6	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	2
2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A295RZ1WX44RBH	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	-1
2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	APROFW08F7Z34	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	-2
2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A32CMQGGTSUK6Z	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	2
