,hitid,hittypeid,workerid,packageName,permission,purpose,comfortScore,gbr31
26,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A2IYAOQ0BY5EYD,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-1,-0.27845901526052824
27,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1U43ACI9M84MZ,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-1,-0.27845901526052824
28,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1K3C8R6GW43CW,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,2,-0.27845901526052824
29,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A6IVYRP8FAIS,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-1,-0.27845901526052824
30,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A2YTOX7SEDJ1TC,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-2,-0.27845901526052824
31,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1CO67KW9NQ5NV,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,1,-0.27845901526052824
32,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1VS2PFZRWWPO3,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,1,-0.27845901526052824
33,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A3HFWLGG0K527B,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,1,-0.27845901526052824
34,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AST33WVZ5QC05,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-2,-0.27845901526052824
35,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A3LXRZZ3GV0LRD,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,2,-0.27845901526052824
