workerid	label	READ_PHONE_STATE	ACCESS_FINE_LOCATION	GET_ACCOUNTS	CAMERA	READ_CONTACTS	RECORD_AUDIO	SEND_SMS	ACCESS_COARSE_LOCATION	BLUETOOTH	MANAGE_ACCOUNTS	AUTHENTICATE_ACCOUNTS	userID	appID	permissionID
A32CMQGGTSUK6Z	1	1.0	1.0	1.0	1.0	1.0	1.0	-1.0	1.0	1.0	1.0	1.0	1.96153846154	-0.294117647059	-0.0950006560819
AST33WVZ5QC05	0	-1.0	-0.2	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.25	-0.294117647059	-0.0950006560819
AZYL4DXPS3AK4	0	-1.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.9	-0.294117647059	-0.0950006560819
A4SKTCPDTV550	0	0.669724770642	0.652173913043	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.775280898876	-0.294117647059	-0.0950006560819
AVAQ4AJU45K1U	1	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	-0.294117647059	-0.0950006560819
AAXYYH9MI3PJM	0	-0.0632911392405	-0.888888888889	0.777777777778	0.6	0.0	-1.0	1.0	-1.0	0.0	0.0	0.0	-0.418831168831	-0.294117647059	-0.0950006560819
A3FSI6EIB1M6YR	1	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.328125	-0.294117647059	-0.0950006560819
A20WD8YXVUQCQX	0	-0.625	-0.333333333333	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5	-0.294117647059	-0.0950006560819
A3JJXEVEPU8V9J	0	-0.046875	-0.769230769231	0.846153846154	-0.6	-1.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.283105022831	-0.294117647059	-0.0950006560819
A3GM27YVNOYZIW	1	-0.272727272727	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.416666666667	-0.294117647059	-0.0950006560819
AL49DDQNUF01M	0	-0.728155339806	-0.575757575758	0.111111111111	-0.428571428571	0.0	1.0	0.0	1.0	0.0	0.0	0.0	-1.20786516854	-0.294117647059	-0.0950006560819
A1CO67KW9NQ5NV	0	0.232558139535	0.1	0.333333333333	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.218045112782	-0.294117647059	-0.0950006560819
A3UWM3KJYEL5XU	0	0.428571428571	-0.5	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	-0.0833333333333	-0.294117647059	-0.0950006560819
AZF0WGPL5SL76	0	-0.684210526316	-0.2	1.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.14814814815	-0.294117647059	-0.0950006560819
A3AJR1PM02424Y	1	0.823529411765	0.818181818182	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19230769231	-0.294117647059	-0.0950006560819
A6IVYRP8FAIS	0	-0.045871559633	-0.037037037037	1.0	1.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.114130434783	-0.294117647059	-0.0950006560819
A2IYAOQ0BY5EYD	0	-0.491228070175	-0.916666666667	-1.0	-0.333333333333	0.0	0.0	0.0	1.0	0.0	0.0	0.0	-0.803191489362	-0.294117647059	-0.0950006560819
AIUKV0KVALMY6	1	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.96296296296	-0.0526315789474	-0.0950006560819
A32CMQGGTSUK6Z	1	1.0	1.0	1.0	1.0	1.0	1.0	-1.0	1.0	1.0	1.0	1.0	1.96153846154	-0.0526315789474	-0.0950006560819
A12TIM3OYMOVWT	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0526315789474	-0.0950006560819
AP1C3ZE41AMH1	0	-0.555555555556	-0.555555555556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.625	-0.0526315789474	-0.0950006560819
A1JRV4XD6CG12W	0	0.313131313131	0.238095238095	0.818181818182	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74269005848	-0.0526315789474	-0.0950006560819
A2OW2CIT4H7364	1	0.428571428571	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	-0.0526315789474	-0.0950006560819
A4SKTCPDTV550	0	0.669724770642	0.652173913043	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.775280898876	-0.0526315789474	-0.0950006560819
A3C7SA7ADVLG3W	1	0.298245614035	0.625	0.6	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.640449438202	-0.0526315789474	-0.0950006560819
AAXYYH9MI3PJM	0	-0.0632911392405	-0.888888888889	0.777777777778	0.6	0.0	-1.0	1.0	-1.0	0.0	0.0	0.0	-0.418831168831	-0.0526315789474	-0.0950006560819
