workerid	READ_PHONE_STATE	ACCESS_FINE_LOCATION	GET_ACCOUNTS	CAMERA	READ_CONTACTS	RECORD_AUDIO	SEND_SMS	ACCESS_COARSE_LOCATION	BLUETOOTH	MANAGE_ACCOUNTS	AUTHENTICATE_ACCOUNTS
A20WD8YXVUQCQX	-0.625	-0.333333333333	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1QKX6GY3CFFK	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3OD6DNO17G118	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A5YWWF994EH1R	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARQ9DY4UL4WJ4	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
A312FLJ2N14L5V	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A3C6BPE5UJ9EHR	-0.853658536585	-0.2	-1.0	1.0	-0.333333333333	-0.142857142857	1.0	-1.0	0.0	0.0	1.0
AQ36OBO2GRA00	0.0	0.333333333333	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A295RZ1WX44RBH	-0.961538461538	-0.2	-1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A2QLVGIAKUQOUN	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A35FHY70T3PL8I	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2U5T9Q7DGNHKF	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A34JG5YYW98V22	0.0857142857143	0.0909090909091	1.0	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	0.0
A37LY5UTJV2KYZ	-0.473684210526	-0.333333333333	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	-1.0	-1.0
A2VJZZPAHHKAOW	0.6	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A11W0929K3TOW3	-1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A3SWVCOJPJM7KQ	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AWEPZMK7825JQ	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
APROFW08F7Z34	-0.976744186047	-0.809523809524	-0.666666666667	0.333333333333	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AK30IDAH8Z6Q5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3QS0S6B9P169W	-1.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3VBS09FLWEOAD	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A22OZI9XS3B2FZ	-1.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2CCK1JKX48R0H	-1.0	-0.714285714286	0.0	0.0	0.0	-1.0	-0.75	0.5	1.0	-1.0	0.0
A2URQW1CG9L9XG	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3F3YFH9NZYULT	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3GM65DMOMZ0WY	-1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3FP4YWBOZKPKZ	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A21753FQKCM5DQ	-0.40206185567	0.35	0.478260869565	-0.2	0.6	0.481481481481	0.2	-0.230769230769	-0.454545454545	0.6	0.857142857143
AMZYIIE52MXZN	-1.0	-1.0	1.0	1.0	-1.0	-1.0	-1.0	-1.0	1.0	0.0	0.0
A1GD3MQELM1R9M	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AIQ8LGMMG42E4	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
A15OBQS0LO4EI1	-1.0	0.0	0.0	1.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
A2G8UI423QZYJJ	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3T021IZ1409ZH	0.0	0.0	-1.0	0.0	-1.0	0.0	0.0	0.0	-0.333333333333	0.0	0.0
AC7VPTC0JQLWL	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
A1G8EU5EICWIYN	-1.0	-1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AT116456PANMW	-0.666666666667	0.0	-1.0	1.0	-1.0	-1.0	-1.0	1.0	-1.0	1.0	1.0
A13JINJ9A5MIKR	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3UWM3KJYEL5XU	0.428571428571	-0.5	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0
A3NQBMDJO1T64F	-1.0	-1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1O856QN2PL7VC	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3G3G7SCD88G1J	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A73ITJ4GZGQBI	-0.172413793103	1.0	0.8	1.0	-0.272727272727	1.0	1.0	1.0	1.0	1.0	0.0
A1S3PCOMZQ5QQQ	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2DUJEW76T1J8Y	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A1DX8T0U3UTD0R	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1G05E56YKEM10	-1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A3F6SDO4GYBE4Y	-0.5	-0.5	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0
A20VG7NZ13S29U	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
A2KCG73A6QCNCW	0.157894736842	1.0	0.0	0.0	-1.0	1.0	0.0	1.0	0.0	0.0	0.0
ACXR9CVS59T23	-0.846153846154	0.333333333333	-1.0	0.0	-1.0	1.0	0.0	-1.0	0.0	0.0	0.0
A2EKR8RZJ75SR9	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A13F9U9W6VCJLG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2RZNT7MFPG3MQ	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1HE4A2XG9F9BF	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A368N9ZE014STJ	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3V2XCDF45VN9X	-1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AMJAP6BGF5LVM	-0.703703703704	-0.714285714286	-0.714285714286	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A4ITJB4ISUQ9N	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3FKV60NWC2EQ0	0.5	0.0	1.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
A18TXM6GMU1411	-0.660377358491	-0.666666666667	0.2	0.0	1.0	0.0	0.0	-1.0	0.0	0.0	0.0
A2T5TKB5P9UQSF	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3RYH6OUH7BJ4Z	-0.692307692308	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A359L0HU2ATH6I	0.75	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2FY1GL04ZI859	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
A2VWG0L5JHOBWN	0.5	0.333333333333	0.8	0.777777777778	0.0	1.0	0.2	0.0	1.0	1.0	-0.666666666667
A3JJXEVEPU8V9J	-0.231707317073	-0.828571428571	0.846153846154	-0.6	-1.0	0.0	0.0	-1.0	0.0	0.0	0.0
A3DM17YA8DE8R5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A38JGCZ8N68TGD	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2Y0SIZH81B265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1B9Y0HDINSM1H	-1.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2IW3WDQCUOMWU	-1.0	0.0	1.0	-0.333333333333	-1.0	-0.333333333333	-1.0	0.333333333333	0.333333333333	-1.0	0.0
AAOTQL1SCAC03	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A194E79BDFEZIU	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3QKXMXDEWMHGN	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A2LJAWY0LUIMN1	0.232323232323	-0.2	0.166666666667	1.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0
A36F8IGSCR2N5N	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC5LU9TF9CTK9	-0.833333333333	-0.5	0.0	0.0	-0.333333333333	0.0	-1.0	-1.0	0.0	0.0	0.0
AC25X12LNYY6Y	-1.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2KPT0PEUEXCC4	-1.0	0.0	0.0	0.0	0.0	0.0	-0.333333333333	0.0	0.0	1.0	0.0
A2IYAOQ0BY5EYD	-0.544827586207	-0.931034482759	-1.0	-0.333333333333	0.0	0.0	0.0	1.0	0.0	0.0	0.0
A2WG4UUY0J0YJQ	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1A2PYJ7XUSTM0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AA8NS0HGQX7K7	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A37QW51L039KKQ	-1.0	-1.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0
A3VIRYIGUMADFS	1.0	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AO4ZHD0B9KUNE	-1.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3O81LHBBI8NPK	-0.75	-0.454545454545	0.333333333333	-0.5	-0.454545454545	0.230769230769	-0.454545454545	-0.294117647059	0.8	0.333333333333	-0.2
A1OGJ58N1MZVS6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
A150Q29JQZOY3V	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2BXU0KC2VAURK	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A16CKTIFQYNGP6	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A25ZDX7L2NZ4X8	0.2	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1434R69YV3Y3I	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1LZWU72K42V92	0.707317073171	0.571428571429	0.75	0.714285714286	0.6	1.0	0.555555555556	0.0	0.555555555556	0.0	0.5
A11N2H7QSSS8VU	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3TGXARHDRR7JQ	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
A3FSI6EIB1M6YR	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AXMPSUNKUBEIL	-1.0	-1.0	1.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	0.0
AL68OHYF5ADBV	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3JFM7PRPF0G5H	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A2T5CROJ0FWIJY	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
A3QXS3HZUA974I	-1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A35Z1QH3JQEZG6	-0.238095238095	0.0909090909091	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A218YWVR9N1H58	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A4J4GGMKJ68L0	-1.0	-0.6	1.0	0.52	0.515151515152	0.714285714286	-0.4	-0.666666666667	1.0	1.0	1.0
A11ZTQS8VDEJK0	1.0	-0.333333333333	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AVXEDARJC5HLU	-1.0	-1.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
AW594VW6N2S3L	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2U5NZGACGXW56	-0.333333333333	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AVC62JNYAXA45	-0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AMUTMRVKAYWUL	0.454545454545	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A119DDDRWS9UI6	-0.4	0.0	0.6	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1PJLZSOUQ4MIL	-0.6	-0.666666666667	-1.0	1.0	-1.0	-1.0	-0.25	-1.0	0.333333333333	-1.0	1.0
A1KF05U5IO9AFG	-0.963636363636	-1.0	0.2	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2PNTNA248L5DW	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2LFZPPWRA1JHH	0.6	1.0	0.0	-1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ARW9FUJEFKGD0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AS9E0S6DBSWH7	-1.0	0.0	-1.0	0.0	-1.0	0.0	0.0	1.0	-0.333333333333	-1.0	-1.0
A14HW8I4RYHNC4	1.0	1.0	1.0	1.0	1.0	1.0	0.333333333333	1.0	1.0	-1.0	1.0
AR7DGMRC1N0AV	-0.301587301587	0.0	0.68	1.0	0.636363636364	0.0	0.0909090909091	0.0909090909091	-0.2	1.0	1.0
A38EHOL0U2BTV0	-0.6	-0.75	-1.0	-1.0	0.0	-0.5	-1.0	0.5	-0.6	-0.111111111111	0.0
A98IRKK6GKERP	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1F63RK1PMJS5Y	-0.52380952381	-0.2	1.0	0.0	1.0	0.2	0.0	-0.428571428571	0.0	0.0	0.0
AAXYYH9MI3PJM	-0.24347826087	-0.914893617021	0.777777777778	0.6	0.0	-1.0	1.0	-1.0	0.0	0.0	0.0
A2ENYOW9BFZWZ8	0.882352941176	0.111111111111	1.0	0.75	1.0	1.0	-0.142857142857	-0.333333333333	1.0	1.0	-1.0
A32H4C4WPLE2L	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
A1MHGD46DB5Z7H	-0.567567567568	0.111111111111	0.333333333333	0.0	-1.0	0.0	0.0	-1.0	0.0	0.0	0.0
A2WPDVXKLZRD78	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1QR6I7UPY8XQJ	-1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A3LCH040UQ4JLM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AF1QPWBGFOOA8	-1.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3Q9PT0RP133GV	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3JGIPEXOZ0ZY6	-0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2S26VBZW2LB5B	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A17DZP7SI14EA2	0.555555555556	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
