	hitid	hittypeid	packageName	permission	purpose	comfortScore	category
0	24XSVGULF3958C32C56SANYN0LTAOY	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	air.couk.hamzagames.ultimatesmasher	READ_PHONE_STATE	TARGETED_ADS	-0.05263157894736842	ARCADE
1	20ZSTLB3L0FBZPF37N5JYEVEM1LJVQ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	amep.games.af_final	READ_PHONE_STATE	TARGETED_ADS	-0.21052631578947367	ARCADE
2	2TEYB49F9SSSXDYGFSES05H5WIFRVQ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	amep.games.af_final	READ_PHONE_STATE	INTERNAL	0.95	ARCADE
3	2J1ENLVWJ5OPRGVAC3ZYTWB7VZ61TP	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	ar.com.ps3argentina.trophies	GET_ACCOUNTS	INTERNAL	1.2105263157894737	ENTERTAINMENT
4	27IONNVRH1KH4PBVNFY6UV9L163XOQ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	atticlab.ScaryMazedGame	READ_PHONE_STATE	TARGETED_ADS	-0.25	ARCADE
5	2ADOK5UFJ51YN6B3VJPQZ1CSAWL7A7	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	atticlab.whip	READ_PHONE_STATE	TARGETED_ADS	-0.3	ENTERTAINMENT
6	2CZVKCJ011K2NKGM5OHWD18NK0V8A2	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	au.com.nab.mobile	ACCESS_FINE_LOCATION	INTERNAL	-0.1	FINANCE
7	2IJK274J79KQCMYNJ8XU4FCDKZXFH0	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	au.com.nab.mobile	READ_PHONE_STATE	INTERNAL	-0.5789473684210527	FINANCE
8	2Y9RLFQ0ONNV7XYZDS0ENRB7NXSSJV	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	bnw.project.wallpaper.buddycons	READ_PHONE_STATE	INTERNAL	0.3	ENTERTAINMENT
9	241KM05BMJTUXETHCXG9YA7SLQWJE1	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	br.bovespa	READ_PHONE_STATE	INTERNAL	-0.03448275862068965	FINANCE
10	2TFKNQY2RCJKMJWAA78R7KUIR05S3I	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	br.com.jera.vikings	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	-0.3	ARCADE
11	2TYJ2D21O3W5DXXYLTJI9KYE6VP8EQ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	br.com.jera.vikings	READ_PHONE_STATE	TARGETED_ADS	0.0	ARCADE
12	2VUWA6X3YOCCVG941OOP0INIZ7TOPS	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	br.com.jera.vikings	READ_PHONE_STATE	INTERNAL	0.6	ARCADE
13	2HY5R98D8J3VUNT7OXEYJG3MSEJVFH	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	br.findmycarfree	ACCESS_FINE_LOCATION	INTERNAL	1.4	TRANSPORTATION
14	3TD33TP5DL24MZOQX2TGXRLRP8SBAB	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	bubbleshooter.android	ACCESS_FINE_LOCATION	SOCIAL_GAMING	-0.95	CASUAL
15	28J4IXKO2L92XU9B6AO35OCCWA8DC7	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	by.istin.android.kinobaza	READ_PHONE_STATE	INTERNAL	0.3	ENTERTAINMENT
16	2IANQQ7Q6705H6HRJVS20QC1DGRVBZ	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	ch.xot.droid_catcher	ACCESS_FINE_LOCATION	TARGETED_ADS	-0.6896551724137931	ARCADE
17	3XBYQ44Z6P41PYLAYTGTFAO4NYPWTR	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	cn.otlive.games.android.CashOut	SEND_SMS	GAME_ENGINE	-1.2	ARCADE
18	3TY2U1TEB7AL5BP6F0JAOE7NN0PJJE	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	cn.otlive.games.android.CashOut_Pad	SEND_SMS	GAME_ENGINE	-1.3	ARCADE
19	215QY2RCJK63FBBIDVRK1IAQQTGU5P	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.Ama.PanicFlightFree	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.125	ARCADE
20	27D66RLPHIT3XBTPRO969NJQJB48G7	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.Ama.PanicFlightFree	ACCESS_FINE_LOCATION	SOCIAL_GAMING	0.21052631578947367	ARCADE
21	2F8S1CSTMOFX7TPJEGSE5DNX0PHORK	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.Ama.PanicFlightFree	READ_PHONE_STATE	INTERNAL	0.4117647058823529	ARCADE
22	2VACWY2AOO2G22BVKS7QZCM6ZK7332	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.Ama.PanicFlightFree	READ_PHONE_STATE	TARGETED_ADS	0.2352941176470588	ARCADE
