,hitid,hittypeid,workerid,packageName,permission,purpose,comfortScore,1,2,3,4,5
17,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AIUKV0KVALMY6,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,2,0.22031165345697626,-0.769230769231,-0.769230769231,-1.0,-1.0
18,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A32CMQGGTSUK6Z,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,2,0.22031165345697626,-0.769230769231,-0.769230769231,-1.0,-1.0
19,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A12TIM3OYMOVWT,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-2,0.29547445887066304,0.3936831142703331,0.3936831142703331,0.3936831142703331,-1.0
20,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AP1C3ZE41AMH1,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-1,0.29547445887066304,0.3936831142703331,-0.5181346222694002,-0.4502923976600001,-1.0
21,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1JRV4XD6CG12W,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-2,0.28804993353028135,0.3936831142703331,0.125,-1.0,-1.0
22,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A2OW2CIT4H7364,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,1,0.24501735451864098,0.135529211684,0.135529211684,-0.7040816326530003,-0.7040816326530003
23,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A4SKTCPDTV550,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-1,0.24501735451864098,0.135529211684,0.135529211684,-0.7040816326530003,-0.7040816326530003
24,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A3C7SA7ADVLG3W,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,1,0.22031165345697626,-0.769230769231,-0.769230769231,-1.0,-1.0
25,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AAXYYH9MI3PJM,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-1,0.22031165345697626,-0.769230769231,-0.769230769231,-1.0,-1.0
26,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A2IYAOQ0BY5EYD,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-1,0.34937651227083033,0.17281335611099993,-0.17543859648999996,-0.4897959183669998,-1.0
