name,purpose,website
chartboost,TARGETED_ADS,http://www.chartboost.com/
fractalist,TARGETED_ADS,http://www.fractalist.com.cn/cn/index.html
greystripe,TARGETED_ADS,http://www.greystripe.com/
inmobi,TARGETED_ADS,http://www.inmobi.com/
inneractive,TARGETED_ADS,http://inner-active.com/
izp,TARGETED_ADS,http://www.izptec.com/en/index.php?m=content&c=index&a=show&catid=27&id=22
jumptap,TARGETED_ADS,http://www.jumptap.com/
lmmob,TARGETED_ADS,http://www.lmmob.com/
mdotm,TARGETED_ADS,http://mdotm.com/
medialets,TARGETED_ADS,http://www.medialets.com/
millennialmedia,TARGETED_ADS,http://www.millennialmedia.com/
mobclix,TARGETED_ADS,http://www.mobclix.com/
mobfox,TARGETED_ADS,http://www.mobfox.com/
mobisage,TARGETED_ADS,http://mobi.adsage.cn/
MobWin,TARGETED_ADS,http://open.myapp.com/ad/
nexage,TARGETED_ADS,http://www.nexage.com/
oneriot,TARGETED_ADS,http://blog.oneriot.com/
pontiflex,TARGETED_ADS,http://www.pontiflex.com/
qwapi,TARGETED_ADS,http://taurus.qwapi.com.
radiumone,TARGETED_ADS,http://www.radiumone.com/
revmob,TARGETED_ADS,http://www.revmob.com/
rhythmnewmedia,TARGETED_ADS,http://rhythmnewmedia.com/
senddroid,TARGETED_ADS,http://senddroid.com/
smaato,TARGETED_ADS,http://www.smaato.com/
smartadserver,TARGETED_ADS,http://smartadserver.com/
sponsorpay,TARGETED_ADS,http://www.sponsorpay.com/
tapjoy,TARGETED_ADS,http://www.tapjoy.com/
transpera,TARGETED_ADS,http://www.tremorvideo.com/
vdopia,TARGETED_ADS,http://mobile.vdopia.com/
vpon,TARGETED_ADS,http://www.vpon.com/en-us/
yume,TARGETED_ADS,http://www.yume.com/
zestadz,TARGETED_ADS,http://komlimobile.com/
umengAd,TARGETED_ADS,http://www.umeng.com/
mopub,TARGETED_ADS,http://www.mopub.com/
easymock,UI_COMPONENT,http://www.easymock.org/
kankan,UI_COMPONENT,http://code.google.com/p/android-wheel/
mobispectra,UI_COMPONENT,http://www.mobispectra.com/
viewpagerindicator,UI_COMPONENT,http://viewpagerindicator.com/
achartengine,UTILITY,http://www.achartengine.org/
acra,UTILITY,http://acra.ch/
actionbarsherlock,UTILITY,http://actionbarsherlock.com/
adobe,UTILITY,N/A
adview,TARGETED_ADS,http://www.adview.com/
amazonaws,UTILITY,http://aws.amazon.com/
anddev,UTILITY,http://www.anddev.org/
ansca,UTILITY,http://www.coronalabs.com/
anywheresoftware,UTILITY,http://www.basic4ppc.com/
appbrain,UTILITY,http://www.appbrain.com/
appcelerator,UTILITY,http://www.appcelerator.com/
appmakr,UTILITY,http://www.appmakr.com/
appmk,UTILITY,http://www.appmk.com/
apwidgets,UTILITY,http://code.google.com/p/apwidgets/
asigbe,UTILITY,http://www.asigbe.com/
