purpose	count
INTERNAL	424
TARGETED_ADS	200
MOBILE_ANALYTICS	77
UTILITY	22
DEVELOPMENT_AID	22
SNS	21
SOCIAL_GAMING	20
SECONDARY_MARKET	20
PAYMENT	20
GAME_ENGINE	20
SEARCH_ENGINE	3
