packageName,permission,purpose,avgScore,comfortScore,hybridScore,isHybridAvg,regScore
air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,0.1648771861116224,-0.05263157894736838,-0.22587702263394177,0.0,-0.22587702263394177
amep.games.af_final,READ_PHONE_STATE,INTERNAL,0.1635976259757431,0.9499999999999995,0.3851834541454089,0.0,0.3851834541454089
amep.games.af_final,READ_PHONE_STATE,TARGETED_ADS,0.16907861883248845,-0.21052631578947353,-0.007575714628047952,0.0,-0.007575714628047952
ar.com.ps3argentina.trophies,GET_ACCOUNTS,INTERNAL,0.161077575492705,1.2105263157894732,0.6320497397663482,0.0,0.6320497397663482
atticlab.ScaryMazedGame,READ_PHONE_STATE,TARGETED_ADS,0.16506820396560182,-0.25,-0.11725934261725139,0.0,-0.11725934261725139
atticlab.whip,READ_PHONE_STATE,TARGETED_ADS,0.16554349931101175,-0.3,-0.3445284178900465,0.0,-0.3445284178900465
au.com.nab.mobile,ACCESS_FINE_LOCATION,INTERNAL,0.1656907062185201,-0.10000000000000005,0.481130355528647,0.0,0.481130355528647
au.com.nab.mobile,READ_PHONE_STATE,INTERNAL,0.16494598375024758,-0.5789473684210529,0.3602205941054077,0.0,0.3602205941054077
bnw.project.wallpaper.buddycons,READ_PHONE_STATE,INTERNAL,0.16412285418038403,0.3,0.3638555395221909,0.0,0.3638555395221909
br.bovespa,READ_PHONE_STATE,INTERNAL,0.16068609329286357,-0.034482758620689634,0.49114622261079977,0.0,0.49114622261079977
br.com.jera.vikings,ACCESS_FINE_LOCATION,MOBILE_ANALYTICS,0.16449530954641306,-0.3,0.13108142275460627,0.0,0.13108142275460627
br.com.jera.vikings,READ_PHONE_STATE,INTERNAL,0.16534566985102514,0.6,0.288790386535724,0.0,0.288790386535724
br.com.jera.vikings,READ_PHONE_STATE,TARGETED_ADS,0.16530154458431967,0.0,-0.15404792731116512,0.0,-0.15404792731116512
br.findmycarfree,ACCESS_FINE_LOCATION,INTERNAL,0.16600642686921116,1.3999999999999992,0.7866690880671764,0.0,0.7866690880671764
bubbleshooter.android,ACCESS_FINE_LOCATION,SOCIAL_GAMING,0.16656735613286636,-0.9499999999999995,0.08579201870206944,0.0,0.08579201870206944
by.istin.android.kinobaza,READ_PHONE_STATE,INTERNAL,0.16375143248756405,0.3,0.46495658500828174,0.0,0.46495658500828174
ch.xot.droid_catcher,ACCESS_FINE_LOCATION,TARGETED_ADS,0.1686334606551658,-0.6896551724137935,-0.4683466541778177,0.0,-0.4683466541778177
cn.otlive.games.android.CashOut,SEND_SMS,GAME_ENGINE,0.1712480626849618,-1.2,-0.33779651775643527,0.0,-0.33779651775643527
cn.otlive.games.android.CashOut_Pad,SEND_SMS,GAME_ENGINE,0.17095090700908647,-1.2999999999999998,-0.3930698439166518,0.0,-0.3930698439166518
com.Ama.PanicFlightFree,ACCESS_FINE_LOCATION,MOBILE_ANALYTICS,0.16375529216461834,-0.050000000000000024,0.12933513913182126,0.0,0.12933513913182126
com.Ama.PanicFlightFree,ACCESS_FINE_LOCATION,SOCIAL_GAMING,0.16766392833362864,0.21052631578947353,-0.13980880133858525,0.0,-0.13980880133858525
com.Ama.PanicFlightFree,GET_ACCOUNTS,INTERNAL,0.16455078674642745,0.4705882352941177,0.5425483688344535,0.0,0.5425483688344535
com.Ama.PanicFlightFree,READ_PHONE_STATE,INTERNAL,0.1661410992836056,0.41176470588235314,0.3257458844061463,0.0,0.3257458844061463
com.Ama.PanicFlightFree,READ_PHONE_STATE,MOBILE_ANALYTICS,0.16210737286128846,-0.125,-0.08417936214146662,0.0,-0.08417936214146662
com.Ama.PanicFlightFree,READ_PHONE_STATE,TARGETED_ADS,0.16704466408670393,0.23529411764705885,-0.07875840335197395,0.0,-0.07875840335197395
com.Conquer3.Kingdoms.game.good.haha,GET_ACCOUNTS,INTERNAL,0.163629199685858,0.5,0.38350167561083304,0.0,0.38350167561083304
com.Conquer3.Kingdoms.game.good.haha,READ_PHONE_STATE,INTERNAL,0.16461668593513876,0.3333333333333333,0.2638530163476916,0.0,0.2638530163476916
com.Conquer3.Kingdoms.game.good.haha,READ_PHONE_STATE,TARGETED_ADS,0.1704408736274229,-0.4000000000000002,-0.08633788633354347,0.0,-0.08633788633354347
com.GnarlyGames.GnarBikeTrials,ACCESS_COARSE_LOCATION,PAYMENT,0.1676564685878462,-0.8947368421052635,0.12499655409305428,0.0,0.12499655409305428
com.HBO,READ_PHONE_STATE,INTERNAL,0.1637356884802959,1.1499999999999992,0.42469606037689495,0.0,0.42469606037689495
com.NextFloor.DragonFlightKakao,READ_PHONE_STATE,INTERNAL,0.16851340130361456,-0.6499999999999999,0.05433469751159965,0.0,0.05433469751159965
com.SnowfallLiveWallpapers,ACCESS_FINE_LOCATION,SOCIAL_GAMING,0.1662578183935458,-0.8947368421052635,-0.06592770750850732,0.0,-0.06592770750850732
com.UCMobile.intl,ACCESS_COARSE_LOCATION,INTERNAL,0.1676411778894571,0.15,0.4209656481907665,0.0,0.4209656481907665
com.UCMobile.intl,ACCESS_COARSE_LOCATION,SNS,0.16696444992692222,0.4000000000000002,0.26648136370931386,0.0,0.26648136370931386
com.UCMobile.intl,ACCESS_FINE_LOCATION,INTERNAL,0.16809020385233053,-0.25,0.3116883196593677,0.0,0.3116883196593677
com.UCMobile.intl,ACCESS_FINE_LOCATION,SNS,0.16581467085512552,0.4499999999999998,0.25227735970724174,0.0,0.25227735970724174
