packageName,permission,purpose,avgScore,comfortScore,hybridScore,isHybridAvg,regScore
air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,0.1630718420207581,-0.05263157894736838,-0.23828738503521704,0.0,-0.23828738503521704
amep.games.af_final,READ_PHONE_STATE,INTERNAL,0.1651156400768842,0.9499999999999995,0.3658688024559332,0.0,0.3658688024559332
amep.games.af_final,READ_PHONE_STATE,TARGETED_ADS,0.16646711391085076,-0.21052631578947353,-0.04205552630636171,0.0,-0.04205552630636171
ar.com.ps3argentina.trophies,GET_ACCOUNTS,INTERNAL,0.16940079258707952,1.2105263157894732,0.6242716407644635,0.0,0.6242716407644635
atticlab.ScaryMazedGame,READ_PHONE_STATE,TARGETED_ADS,0.16743881070478234,-0.25,-0.10065985411016794,0.0,-0.10065985411016794
atticlab.whip,READ_PHONE_STATE,TARGETED_ADS,0.16679117633478927,-0.3,-0.3333167656901887,0.0,-0.3333167656901887
au.com.nab.mobile,ACCESS_FINE_LOCATION,INTERNAL,0.1671752913524145,-0.10000000000000005,0.46845706835247797,0.0,0.46845706835247797
au.com.nab.mobile,READ_PHONE_STATE,INTERNAL,0.16899893149470904,-0.5789473684210529,0.3791819607597295,0.0,0.3791819607597295
bnw.project.wallpaper.buddycons,READ_PHONE_STATE,INTERNAL,0.16629094914025844,0.3,0.3732176973356748,0.0,0.3732176973356748
br.bovespa,READ_PHONE_STATE,INTERNAL,0.16863825880891206,-0.034482758620689634,0.5242150617271429,0.0,0.5242150617271429
br.com.jera.vikings,ACCESS_FINE_LOCATION,MOBILE_ANALYTICS,0.16526544639380011,-0.3,0.1343950681038234,0.0,0.1343950681038234
br.com.jera.vikings,READ_PHONE_STATE,INTERNAL,0.16735349384044243,0.6,0.3058650641386605,0.0,0.3058650641386605
br.com.jera.vikings,READ_PHONE_STATE,TARGETED_ADS,0.16295725300419803,0.0,-0.1456892244658502,0.0,-0.1456892244658502
br.findmycarfree,ACCESS_FINE_LOCATION,INTERNAL,0.16388430694040174,1.3999999999999992,0.8189396641618376,0.0,0.8189396641618376
bubbleshooter.android,ACCESS_FINE_LOCATION,SOCIAL_GAMING,0.16656623565058412,-0.9499999999999995,0.09036571743491646,0.0,0.09036571743491646
by.istin.android.kinobaza,READ_PHONE_STATE,INTERNAL,0.16790826066174488,0.3,0.42965576073900263,0.0,0.42965576073900263
ch.xot.droid_catcher,ACCESS_FINE_LOCATION,TARGETED_ADS,0.16770871158402104,-0.6896551724137935,-0.4793042265874552,0.0,-0.4793042265874552
cn.otlive.games.android.CashOut,SEND_SMS,GAME_ENGINE,0.17031254830944667,-1.2,-0.2025209179080834,0.0,-0.2025209179080834
cn.otlive.games.android.CashOut_Pad,SEND_SMS,GAME_ENGINE,0.1672485091813481,-1.2999999999999998,-0.3358778255134378,0.0,-0.3358778255134378
com.Ama.PanicFlightFree,ACCESS_FINE_LOCATION,MOBILE_ANALYTICS,0.1665742051515672,-0.050000000000000024,0.12886419991697906,0.0,0.12886419991697906
com.Ama.PanicFlightFree,ACCESS_FINE_LOCATION,SOCIAL_GAMING,0.16791034552837295,0.21052631578947353,-0.15346972505656672,0.0,-0.15346972505656672
com.Ama.PanicFlightFree,GET_ACCOUNTS,INTERNAL,0.1669089728022948,0.4705882352941177,0.4777276468901495,0.0,0.4777276468901495
com.Ama.PanicFlightFree,READ_PHONE_STATE,INTERNAL,0.16697756654586046,0.41176470588235314,0.32352055554951686,0.0,0.32352055554951686
com.Ama.PanicFlightFree,READ_PHONE_STATE,MOBILE_ANALYTICS,0.16548827216197287,-0.125,-0.07455604314360906,0.0,-0.07455604314360906
com.Ama.PanicFlightFree,READ_PHONE_STATE,TARGETED_ADS,0.16438451653428746,0.23529411764705885,-0.10594933955840904,0.0,-0.10594933955840904
com.Conquer3.Kingdoms.game.good.haha,GET_ACCOUNTS,INTERNAL,0.16676847194574496,0.5,0.38205566933589513,0.0,0.38205566933589513
com.Conquer3.Kingdoms.game.good.haha,READ_PHONE_STATE,INTERNAL,0.16650418550712043,0.3333333333333333,0.24307378898831192,0.0,0.24307378898831192
com.Conquer3.Kingdoms.game.good.haha,READ_PHONE_STATE,TARGETED_ADS,0.16600145350744003,-0.4000000000000002,-0.07613386031199364,0.0,-0.07613386031199364
com.GnarlyGames.GnarBikeTrials,ACCESS_COARSE_LOCATION,PAYMENT,0.1677052073728918,-0.8947368421052635,0.050270550978906266,0.0,0.050270550978906266
com.HBO,READ_PHONE_STATE,INTERNAL,0.16352553564605973,1.1499999999999992,0.43521068598792784,0.0,0.43521068598792784
com.NextFloor.DragonFlightKakao,READ_PHONE_STATE,INTERNAL,0.16450416602124315,-0.6499999999999999,0.12431616041645915,0.0,0.12431616041645915
com.SnowfallLiveWallpapers,ACCESS_FINE_LOCATION,SOCIAL_GAMING,0.165941259205305,-0.8947368421052635,-0.13691627783087632,0.0,-0.13691627783087632
com.UCMobile.intl,ACCESS_COARSE_LOCATION,INTERNAL,0.16420134791722452,0.15,0.43652038090710094,0.0,0.43652038090710094
com.UCMobile.intl,ACCESS_COARSE_LOCATION,SNS,0.16531254499346187,0.4000000000000002,0.3130144551862376,0.0,0.3130144551862376
com.UCMobile.intl,ACCESS_FINE_LOCATION,INTERNAL,0.16362655041727256,-0.25,0.31540613829425684,0.0,0.31540613829425684
com.UCMobile.intl,ACCESS_FINE_LOCATION,SNS,0.16311349246526516,0.4499999999999998,0.2239145635694579,0.0,0.2239145635694579
